n,p,rep,rounds
100,0.5,1,9
100,0.5,2,7
100,0.5,3,10
100,0.5,4,6
100,0.5,5,7
100,0.5,6,7
100,0.5,7,8
100,0.5,8,7
100,0.5,9,7
100,0.5,10,6
100,0.5,11,8
100,0.5,12,6
100,0.5,13,5
100,0.5,14,9
100,0.5,15,10
100,0.5,16,8
100,0.5,17,7
100,0.5,18,6
100,0.5,19,8
100,0.5,20,7
100,0.5,21,7
100,0.5,22,10
100,0.5,23,8
100,0.5,24,12
100,0.5,25,7
100,0.5,26,8
100,0.5,27,10
100,0.5,28,7
100,0.5,29,6
100,0.5,30,9
100,0.5,31,7
100,0.5,32,7
100,0.5,33,9
100,0.5,34,11
100,0.5,35,6
100,0.5,36,6
100,0.5,37,13
100,0.5,38,9
100,0.5,39,11
100,0.5,40,7
100,0.5,41,9
100,0.5,42,11
100,0.5,43,7
100,0.5,44,7
100,0.5,45,6
100,0.5,46,10
100,0.5,47,12
100,0.5,48,7
100,0.5,49,11
100,0.5,50,7
200,0.5,1,9
200,0.5,2,8
200,0.5,3,11
200,0.5,4,10
200,0.5,5,10
200,0.5,6,13
200,0.5,7,7
200,0.5,8,10
200,0.5,9,10
200,0.5,10,8
200,0.5,11,10
200,0.5,12,11
200,0.5,13,6
200,0.5,14,9
200,0.5,15,7
200,0.5,16,7
200,0.5,17,11
200,0.5,18,6
200,0.5,19,9
200,0.5,20,7
200,0.5,21,8
200,0.5,22,10
200,0.5,23,7
200,0.5,24,8
200,0.5,25,9
200,0.5,26,8
200,0.5,27,11
200,0.5,28,9
200,0.5,29,12
200,0.5,30,8
200,0.5,31,9
200,0.5,32,8
200,0.5,33,9
200,0.5,34,9
200,0.5,35,6
200,0.5,36,8
200,0.5,37,8
200,0.5,38,9
200,0.5,39,7
200,0.5,40,8
200,0.5,41,8
200,0.5,42,8
200,0.5,43,11
200,0.5,44,10
200,0.5,45,10
200,0.5,46,6
200,0.5,47,8
200,0.5,48,8
200,0.5,49,9
200,0.5,50,9
300,0.5,1,8
300,0.5,2,9
300,0.5,3,9
300,0.5,4,8
300,0.5,5,7
300,0.5,6,10
300,0.5,7,12
300,0.5,8,11
300,0.5,9,7
300,0.5,10,10
300,0.5,11,9
300,0.5,12,8
300,0.5,13,9
300,0.5,14,11
300,0.5,15,8
300,0.5,16,13
300,0.5,17,12
300,0.5,18,10
300,0.5,19,17
300,0.5,20,9
300,0.5,21,8
300,0.5,22,7
300,0.5,23,10
300,0.5,24,9
300,0.5,25,8
300,0.5,26,9
300,0.5,27,10
300,0.5,28,14
300,0.5,29,13
300,0.5,30,9
300,0.5,31,9
300,0.5,32,8
300,0.5,33,8
300,0.5,34,8
300,0.5,35,9
300,0.5,36,10
300,0.5,37,13
300,0.5,38,8
300,0.5,39,8
300,0.5,40,11
300,0.5,41,10
300,0.5,42,9
300,0.5,43,12
300,0.5,44,8
300,0.5,45,10
300,0.5,46,9
300,0.5,47,10
300,0.5,48,7
300,0.5,49,11
300,0.5,50,16
400,0.5,1,8
400,0.5,2,12
400,0.5,3,8
400,0.5,4,14
400,0.5,5,11
400,0.5,6,8
400,0.5,7,13
400,0.5,8,13
400,0.5,9,10
400,0.5,10,8
400,0.5,11,10
400,0.5,12,10
400,0.5,13,8
400,0.5,14,10
400,0.5,15,9
400,0.5,16,10
400,0.5,17,14
400,0.5,18,11
400,0.5,19,10
400,0.5,20,8
400,0.5,21,9
400,0.5,22,13
400,0.5,23,9
400,0.5,24,8
400,0.5,25,9
400,0.5,26,8
400,0.5,27,10
400,0.5,28,10
400,0.5,29,8
400,0.5,30,8
400,0.5,31,11
