testname,N,ds,average_comparisons,max_comparisons,average_pointer_operations,max_pointer_operations,average_tree_height,max_tree_height,average_cost,max_cost
"random_keys_insertion_and_deletion_inserts",10000,"Splay",57,119,129,270,29,41,186,389
"random_keys_insertion_and_deletion_deletes",10000,"Splay",54,121,111,249,29,44,165,370
"ascending_keys_insertion_and_deletion_inserts",10000,"Splay",4,4,9,9,5001,10000,13,13
"ascending_keys_insertion_and_deletion_deletes",10000,"Splay",59,27759,123,55518,36,8861,182,83277
"random_keys_insertion_and_deletion_inserts",10000,"Splay",56,118,129,271,29,43,186,389
"random_keys_insertion_and_deletion_deletes",10000,"Splay",54,129,111,269,28,42,165,398
"ascending_keys_insertion_and_deletion_inserts",10000,"Splay",4,4,9,9,5001,10000,13,13
"ascending_keys_insertion_and_deletion_deletes",10000,"Splay",59,21466,122,42931,37,9979,182,64397
"random_keys_insertion_and_deletion_inserts",10000,"Splay",56,132,128,302,29,45,185,434
"random_keys_insertion_and_deletion_deletes",10000,"Splay",53,115,111,235,29,46,165,350
"ascending_keys_insertion_and_deletion_inserts",10000,"Splay",4,4,9,9,5001,10000,13,13
"ascending_keys_insertion_and_deletion_deletes",10000,"Splay",59,12877,123,25753,34,7428,182,38630
"random_keys_insertion_and_deletion_inserts",10000,"Splay",57,123,129,279,29,45,186,402
"random_keys_insertion_and_deletion_deletes",10000,"Splay",54,122,111,253,29,43,165,375
"ascending_keys_insertion_and_deletion_inserts",10000,"Splay",4,4,9,9,5001,10000,13,13
"ascending_keys_insertion_and_deletion_deletes",10000,"Splay",59,13709,123,27413,37,6404,182,41122
"random_keys_insertion_and_deletion_inserts",10000,"Splay",56,125,129,285,29,42,185,410
"random_keys_insertion_and_deletion_deletes",10000,"Splay",54,114,111,238,29,44,165,352
"ascending_keys_insertion_and_deletion_inserts",10000,"Splay",4,4,9,9,5001,10000,13,13
"ascending_keys_insertion_and_deletion_deletes",10000,"Splay",60,29326,123,58647,36,4190,184,87973
"random_keys_insertion_and_deletion_inserts",10000,"Splay",57,123,129,279,29,42,186,402
"random_keys_insertion_and_deletion_deletes",10000,"Splay",54,129,111,271,28,42,165,400
"ascending_keys_insertion_and_deletion_inserts",10000,"Splay",4,4,9,9,5001,10000,13,13
"ascending_keys_insertion_and_deletion_deletes",10000,"Splay",59,20058,123,40111,34,7000,182,60169
"random_keys_insertion_and_deletion_inserts",10000,"Splay",57,125,129,287,29,44,186,412
"random_keys_insertion_and_deletion_deletes",10000,"Splay",54,121,111,249,28,45,165,370
"ascending_keys_insertion_and_deletion_inserts",10000,"Splay",4,4,9,9,5001,10000,13,13
"ascending_keys_insertion_and_deletion_deletes",10000,"Splay",59,13269,123,26537,35,6210,182,39806
"random_keys_insertion_and_deletion_inserts",10000,"Splay",56,125,129,286,29,43,186,411
"random_keys_insertion_and_deletion_deletes",10000,"Splay",53,115,110,239,28,42,164,354
"ascending_keys_insertion_and_deletion_inserts",10000,"Splay",4,4,9,9,5001,10000,13,13
"ascending_keys_insertion_and_deletion_deletes",10000,"Splay",59,30090,123,60179,32,4300,183,90269
"random_keys_insertion_and_deletion_inserts",10000,"Splay",56,125,129,288,29,46,185,413
"random_keys_insertion_and_deletion_deletes",10000,"Splay",54,130,111,274,29,44,165,404
"ascending_keys_insertion_and_deletion_inserts",10000,"Splay",4,4,9,9,5001,10000,13,13
"ascending_keys_insertion_and_deletion_deletes",10000,"Splay",60,30733,123,61461,35,4391,183,92194
"random_keys_insertion_and_deletion_inserts",10000,"Splay",57,124,129,280,29,41,186,404
"random_keys_insertion_and_deletion_deletes",10000,"Splay",54,123,111,257,29,42,165,380
"ascending_keys_insertion_and_deletion_inserts",10000,"Splay",4,4,9,9,5001,10000,13,13
"ascending_keys_insertion_and_deletion_deletes",10000,"Splay",59,26687,123,53369,32,3813,183,80056
"random_keys_insertion_and_deletion_inserts",10000,"Splay",56,130,129,296,29,45,186,426
"random_keys_insertion_and_deletion_deletes",10000,"Splay",54,123,111,257,29,43,165,380
"ascending_keys_insertion_and_deletion_inserts",10000,"Splay",4,4,9,9,5001,10000,13,13
"ascending_keys_insertion_and_deletion_deletes",10000,"Splay",59,22446,123,44891,33,3588,183,67337
"random_keys_insertion_and_deletion_inserts",10000,"Splay",56,144,129,327,29,44,186,471
"random_keys_insertion_and_deletion_deletes",10000,"Splay",54,121,111,253,29,48,165,374
"ascending_keys_insertion_and_deletion_inserts",10000,"Splay",4,4,9,9,5001,10000,13,13
"ascending_keys_insertion_and_deletion_deletes",10000,"Splay",59,19932,123,39859,37,8992,182,59791
"random_keys_insertion_and_deletion_inserts",10000,"Splay",57,125,129,287,29,43,186,412
"random_keys_insertion_and_deletion_deletes",10000,"Splay",54,124,111,256,28,44,165,380
"ascending_keys_insertion_and_deletion_inserts",10000,"Splay",4,4,9,9,5001,10000,13,13
"ascending_keys_insertion_and_deletion_deletes",10000,"Splay",60,26464,123,52927,32,3781,183,79391
"random_keys_insertion_and_deletion_inserts",10000,"Splay",56,117,129,264,29,43,186,381
"random_keys_insertion_and_deletion_deletes",10000,"Splay",54,115,111,239,29,42,165,353
"ascending_keys_insertion_and_deletion_inserts",10000,"Splay",4,4,9,9,5001,10000,13,13
"ascending_keys_insertion_and_deletion_deletes",10000,"Splay",59,25155,123,50309,33,3596,183,75464
"random_keys_insertion_and_deletion_inserts",10000,"Splay",57,118,129,271,29,42,186,389
"random_keys_insertion_and_deletion_deletes",10000,"Splay",54,128,111,260,28,42,165,388
"ascending_keys_insertion_and_deletion_inserts",10000,"Splay",4,4,9,9,5001,10000,13,13
"ascending_keys_insertion_and_deletion_deletes",10000,"Splay",59,24944,123,49883,37,9879,183,74827
"random_keys_insertion_and_deletion_inserts",10000,"Splay",57,133,129,302,29,44,186,435
"random_keys_insertion_and_deletion_deletes",10000,"Splay",54,130,111,269,29,43,165,399
"ascending_keys_insertion_and_deletion_inserts",10000,"Splay",4,4,9,9,5001,10000,13,13
"ascending_keys_insertion_and_deletion_deletes",10000,"Splay",60,25672,123,51339,36,3668,183,77011
"random_keys_insertion_and_deletion_inserts",10000,"Splay",56,126,129,287,29,45,185,412
"random_keys_insertion_and_deletion_deletes",10000,"Splay",54,122,111,251,29,46,165,373
"ascending_keys_insertion_and_deletion_inserts",10000,"Splay",4,4,9,9,5001,10000,13,13
"ascending_keys_insertion_and_deletion_deletes",10000,"Splay",59,27647,123,55293,35,3950,182,82940
"random_keys_insertion_and_deletion_inserts",10000,"Splay",56,132,129,303,29,46,186,435
"random_keys_insertion_and_deletion_deletes",10000,"Splay",54,120,111,246,29,43,165,366
"ascending_keys_insertion_and_deletion_inserts",10000,"Splay",4,4,9,9,5001,10000,13,13
"ascending_keys_insertion_and_deletion_deletes",10000,"Splay",59,13360,123,26719,36,9576,183,40079
"random_keys_insertion_and_deletion_inserts",10000,"Splay",56,130,129,296,29,42,186,426
"random_keys_insertion_and_deletion_deletes",10000,"Splay",54,122,111,253,29,42,165,375
"ascending_keys_insertion_and_deletion_inserts",10000,"Splay",4,4,9,9,5001,10000,13,13
"ascending_keys_insertion_and_deletion_deletes",10000,"Splay",60,26205,123,52409,33,3744,183,78614
"random_keys_insertion_and_deletion_inserts",10000,"Splay",56,130,129,295,29,43,186,425
"random_keys_insertion_and_deletion_deletes",10000,"Splay",54,137,111,285,28,44,165,422
"ascending_keys_insertion_and_deletion_inserts",10000,"Splay",4,4,9,9,5001,10000,13,13
"ascending_keys_insertion_and_deletion_deletes",10000,"Splay",59,13381,123,26761,36,6853,183,40142
"random_keys_insertion_and_deletion_inserts",20000,"Splay",62,138,140,311,32,46,202,449
"random_keys_insertion_and_deletion_deletes",20000,"Splay",59,136,122,282,32,48,181,418
"ascending_keys_insertion_and_deletion_inserts",20000,"Splay",4,4,9,9,10001,20000,13,13
"ascending_keys_insertion_and_deletion_deletes",20000,"Splay",65,33925,134,67845,35,11710,199,101770
"random_keys_insertion_and_deletion_inserts",20000,"Splay",62,137,140,308,32,49,202,445
"random_keys_insertion_and_deletion_deletes",20000,"Splay",59,136,122,279,32,48,181,415
"ascending_keys_insertion_and_deletion_inserts",20000,"Splay",4,4,9,9,10001,20000,13,13
"ascending_keys_insertion_and_deletion_deletes",20000,"Splay",65,29467,134,58933,39,12835,199,88400
"random_keys_insertion_and_deletion_inserts",20000,"Splay",62,124,140,280,32,47,202,403
"random_keys_insertion_and_deletion_deletes",20000,"Splay",59,136,122,281,32,48,181,416
"ascending_keys_insertion_and_deletion_inserts",20000,"Splay",4,4,9,9,10001,20000,13,13
"ascending_keys_insertion_and_deletion_deletes",20000,"Splay",65,60476,134,120947,41,8640,200,181423
"random_keys_insertion_and_deletion_inserts",20000,"Splay",62,131,140,296,32,50,202,426
"random_keys_insertion_and_deletion_deletes",20000,"Splay",59,142,122,294,31,49,181,436
"ascending_keys_insertion_and_deletion_inserts",20000,"Splay",4,4,9,9,10001,20000,13,13
"ascending_keys_insertion_and_deletion_deletes",20000,"Splay",65,24707,134,49413,41,14148,199,74120
"random_keys_insertion_and_deletion_inserts",20000,"Splay",62,132,140,303,32,46,203,435
"random_keys_insertion_and_deletion_deletes",20000,"Splay",59,142,122,294,32,49,181,436
"ascending_keys_insertion_and_deletion_inserts",20000,"Splay",4,4,9,9,10001,20000,13,13
"ascending_keys_insertion_and_deletion_deletes",20000,"Splay",65,49906,134,99807,39,7130,199,149713
"random_keys_insertion_and_deletion_inserts",20000,"Splay",62,139,140,319,32,48,203,458
"random_keys_insertion_and_deletion_deletes",20000,"Splay",59,131,122,275,32,46,181,406
"ascending_keys_insertion_and_deletion_inserts",20000,"Splay",4,4,9,9,10001,20000,13,13
"ascending_keys_insertion_and_deletion_deletes",20000,"Splay",65,38881,134,77757,38,17011,199,116638
"random_keys_insertion_and_deletion_inserts",20000,"Splay",62,145,141,325,32,46,203,470
"random_keys_insertion_and_deletion_deletes",20000,"Splay",59,130,122,272,32,45,181,402
"ascending_keys_insertion_and_deletion_inserts",20000,"Splay",4,4,9,9,10001,20000,13,13
"ascending_keys_insertion_and_deletion_deletes",20000,"Splay",65,57480,134,114955,41,8212,199,172435
"random_keys_insertion_and_deletion_inserts",20000,"Splay",62,137,140,310,32,48,202,447
"random_keys_insertion_and_deletion_deletes",20000,"Splay",59,136,122,288,31,44,181,424
"ascending_keys_insertion_and_deletion_inserts",20000,"Splay",4,4,9,9,10001,20000,13,13
"ascending_keys_insertion_and_deletion_deletes",20000,"Splay",65,50145,134,100289,45,19722,199,150434
"random_keys_insertion_and_deletion_inserts",20000,"Splay",62,126,141,287,32,46,203,413
"random_keys_insertion_and_deletion_deletes",20000,"Splay",59,137,122,285,32,45,181,422
"ascending_keys_insertion_and_deletion_inserts",20000,"Splay",4,4,9,9,10001,20000,13,13
"ascending_keys_insertion_and_deletion_deletes",20000,"Splay",65,42570,134,85135,36,7839,199,127705
"random_keys_insertion_and_deletion_inserts",20000,"Splay",61,138,140,310,32,49,202,448
"random_keys_insertion_and_deletion_deletes",20000,"Splay",59,136,122,285,32,50,181,421
"ascending_keys_insertion_and_deletion_inserts",20000,"Splay",4,4,9,9,10001,20000,13,13
"ascending_keys_insertion_and_deletion_deletes",20000,"Splay",65,38412,134,76819,39,9032,199,115231
"random_keys_insertion_and_deletion_inserts",20000,"Splay",62,138,140,311,32,48,202,449
"random_keys_insertion_and_deletion_deletes",20000,"Splay",59,128,122,263,31,49,181,391
"ascending_keys_insertion_and_deletion_inserts",20000,"Splay",4,4,9,9,10001,20000,13,13
